"nut","yPlus","k","p","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
6.107273975e-07,61.9260025,0.002963361097,0.002617856953,613.1210938,-0.0009556547739,4.642574368e-06,1.230035795e-19,0,0,0,0.2011132538,0,0
6.107273975e-07,61.9260025,0.002963361097,0.002617856953,613.1210938,-0.0009556547739,4.642574368e-06,1.230035795e-19,0,0,0,0.2011132538,0,1
6.268631978e-07,63.44146347,0.003146487521,0.002763628261,631.274292,-0.001003014506,4.864294169e-06,1.308363595e-19,0,0,0,0.2104245722,0,0
6.268631978e-07,63.44146347,0.003146487521,0.002763628261,631.274292,-0.001003014506,4.864294169e-06,1.308363595e-19,0,0,0,0.2104245722,0,1
6.44232955e-07,65.07723236,0.003361691721,0.002917477628,651.958374,-0.001055420958,5.154980499e-06,2.701587907e-19,0,0,0,0.2200219482,0,0
6.44232955e-07,65.07723236,0.003361691721,0.002917477628,651.958374,-0.001055420958,5.154980499e-06,2.701587907e-19,0,0,0,0.2200219482,0,1
6.633381417e-07,66.88169098,0.00361845945,0.003095307155,675.8131104,-0.00111480162,5.527818303e-06,4.946406616e-20,0,0,0,0.2299141884,0,0
6.633381417e-07,66.88169098,0.00361845945,0.003095307155,675.8131104,-0.00111480162,5.527818303e-06,4.946406616e-20,0,0,0,0.2299141884,0,1
6.844620657e-07,68.88301086,0.003913285676,0.003314000554,702.2263184,-0.001182553126,5.7862826e-06,-2.762783504e-19,0,0,0,0.2401103377,0,0
6.844620657e-07,68.88301086,0.003913285676,0.003314000554,702.2263184,-0.001182553126,5.7862826e-06,-2.762783504e-19,0,0,0,0.2401103377,0,1
7.063698035e-07,70.96520233,0.004222092684,0.003540836275,728.8939819,-0.001255110139,5.74086107e-06,-2.686384069e-19,0,0,0,0.2506197393,0,0
7.063698035e-07,70.96520233,0.004222092684,0.003540836275,728.8939819,-0.001255110139,5.74086107e-06,-2.686384069e-19,0,0,0,0.2506197393,0,1
7.275566531e-07,72.98524475,0.004522132687,0.003712412668,753.9072266,-0.001327547128,5.370668532e-06,-2.063269043e-19,0,0,0,0.2614519894,0,0
7.275566531e-07,72.98524475,0.004522132687,0.003712412668,753.9072266,-0.001327547128,5.370668532e-06,-2.063269043e-19,0,0,0,0.2614519894,0,1
7.466026659e-07,74.80634308,0.00478658732,0.003795726923,775.3046875,-0.001394548221,4.684981377e-06,-1.241089383e-19,0,0,0,0.2726170719,0,0
7.466026659e-07,74.80634308,0.00478658732,0.003795726923,775.3046875,-0.001394548221,4.684981377e-06,-1.241089383e-19,0,0,0,0.2726170719,0,1
7.624672662e-07,76.32701111,0.004996413365,0.003787080757,791.8670044,-0.001451756689,3.850356734e-06,-2.50417589e-20,0,0,0,0.2841251493,0,0
7.624672662e-07,76.32701111,0.004996413365,0.003787080757,791.8670044,-0.001451756689,3.850356734e-06,-2.50417589e-20,0,0,0,0.2841251493,0,1
7.751674502e-07,77.54680634,0.005154369399,0.0037064387,804.1081543,-0.001498478581,3.049176712e-06,-4.156349287e-20,0,0,0,0.2959868014,0,0
7.751674502e-07,77.54680634,0.005154369399,0.0037064387,804.1081543,-0.001498478581,3.049176712e-06,-4.156349287e-20,0,0,0,0.2959868014,0,1
7.849666872e-07,78.48945618,0.005266107619,0.003596457653,812.6540527,-0.00153509574,2.339948651e-06,-1.652170166e-20,0,0,0,0.3082128465,0,0
7.849666872e-07,78.48945618,0.005266107619,0.003596457653,812.6540527,-0.00153509574,2.339948651e-06,-1.652170166e-20,0,0,0,0.3082128465,0,1
7.922610621e-07,79.19197083,0.005340569187,0.003480227897,818.2980347,-0.00156267581,1.733934255e-06,4.963361556e-21,0,0,0,0.3208145201,0,0
7.922610621e-07,79.19197083,0.005340569187,0.003480227897,818.2980347,-0.00156267581,1.733934255e-06,4.963361556e-21,0,0,0,0.3208145201,0,1
7.974511504e-07,79.69226074,0.005386313424,0.00336089381,821.7454834,-0.001582468278,1.233852117e-06,4.963387002e-21,0,0,0,0.3338033259,0,0
7.974511504e-07,79.69226074,0.005386313424,0.00336089381,821.7454834,-0.001582468278,1.233852117e-06,4.963387002e-21,0,0,0,0.3338033259,0,1
8.009085377e-07,80.02572632,0.005410416983,0.003243545536,823.5559692,-0.001595731126,8.319810263e-07,0,0,0,0,0.3471912146,0,0
8.009085377e-07,80.02572632,0.005410416983,0.003243545536,823.5559692,-0.001595731126,8.319810263e-07,0,0,0,0,0.3471912146,0,1
8.02964621e-07,80.22410583,0.005418277811,0.003129765857,824.1455688,-0.001603647834,5.174844091e-07,0,0,0,0,0.3609904051,0,0
8.02964621e-07,80.22410583,0.005418277811,0.003129765857,824.1455688,-0.001603647834,5.174844091e-07,0,0,0,0,0.3609904051,0,1
8.039000932e-07,80.31438446,0.00541398488,0.003020605072,823.8237915,-0.001607257058,2.7528705e-07,0,0,0,0,0.3752135038,0,0
8.039000932e-07,80.31438446,0.00541398488,0.003020605072,823.8237915,-0.001607257058,2.7528705e-07,0,0,0,0,0.3752135038,0,1
8.039243653e-07,80.31672668,0.005400613882,0.002917982405,822.8206787,-0.001607349841,8.682579278e-08,0,0,0,0,0.389873594,0,0
8.039243653e-07,80.31672668,0.005400613882,0.002917982405,822.8206787,-0.001607349841,8.682579278e-08,0,0,0,0,0.389873594,0,1
8.031984748e-07,80.24667358,0.005380284972,0.002822186798,821.2932129,-0.001604546909,-5.975949335e-08,-2.510493765e-21,0,0,0,0.4049840868,0,0
8.031984748e-07,80.24667358,0.005380284972,0.002822186798,821.2932129,-0.001604546909,-5.975949335e-08,-2.510493765e-21,0,0,0,0.4049840868,0,1
8.018670314e-07,80.11819458,0.005354451947,0.002730839886,819.3480835,-0.001599413459,-1.71372136e-07,-2.510512344e-21,0,0,0,0.4205588102,0,0
8.018670314e-07,80.11819458,0.005354451947,0.002730839886,819.3480835,-0.001599413459,-1.71372136e-07,-2.510512344e-21,0,0,0,0.4205588102,0,1
8.00045882e-07,79.94248962,0.005324248224,0.002641951665,817.0680542,-0.001592406537,-2.548865723e-07,0,0,0,0,0.43661201,0,0
8.00045882e-07,79.94248962,0.005324248224,0.002641951665,817.0680542,-0.001592406537,-2.548865723e-07,0,0,0,0,0.43661201,0,1
7.97833593e-07,79.72911835,0.005290697794,0.002556612948,814.5278931,-0.001583917881,-3.149185375e-07,0,0,0,0,0.4531584084,0,0
7.97833593e-07,79.72911835,0.005290697794,0.002556612948,814.5278931,-0.001583917881,-3.149185375e-07,0,0,0,0,0.4531584084,0,1
7.953234444e-07,79.48709106,0.005254827905,0.002476345049,811.8034058,-0.001574316528,-3.543316325e-07,0,0,0,0,0.4702131748,0,0
7.953234444e-07,79.48709106,0.005254827905,0.002476345049,811.8034058,-0.001574316528,-3.543316325e-07,0,0,0,0,0.4702131748,0,1
7.92605249e-07,79.22509766,0.005217637867,0.002400826896,808.9690552,-0.001563955797,-3.762441168e-07,0,0,0,0,0.4877918661,0,0
7.92605249e-07,79.22509766,0.005217637867,0.002400826896,808.9690552,-0.001563955797,-3.762441168e-07,0,0,0,0,0.4877918661,0,1
7.897589853e-07,78.95085144,0.00517997425,0.002328624949,806.088501,-0.001553147216,-3.843895229e-07,0,0,0,0,0.505910635,0,0
7.897589853e-07,78.95085144,0.00517997425,0.002328624949,806.088501,-0.001553147216,-3.843895229e-07,0,0,0,0,0.505910635,0,1
7.868489433e-07,78.670578,0.005142456852,0.002259720583,803.2088623,-0.001542139566,-3.822676433e-07,0,0,0,0,0.5245860815,0,0
7.868489433e-07,78.670578,0.005142456852,0.002259720583,803.2088623,-0.001542139566,-3.822676433e-07,0,0,0,0,0.5245860815,0,1
7.839246905e-07,78.38904572,0.005105466582,0.002195137553,800.3594971,-0.001531121787,-3.728971194e-07,0,0,0,0,0.5438352227,0,0
7.839246905e-07,78.38904572,0.005105466582,0.002195137553,800.3594971,-0.001531121787,-3.728971194e-07,0,0,0,0,0.5438352227,0,1
7.810189686e-07,78.10941315,0.005069176666,0.002134104725,797.5543213,-0.00152021728,-3.594671512e-07,0,0,0,0,0.5636758208,0,0
7.810189686e-07,78.10941315,0.005069176666,0.002134104725,797.5543213,-0.00152021728,-3.594671512e-07,0,0,0,0,0.5636758208,0,1
7.781463864e-07,77.83306885,0.005033631809,0.002074457705,794.7970581,-0.001509479713,-3.448815846e-07,0,0,0,0,0.584125936,0,0
7.781463864e-07,77.83306885,0.005033631809,0.002074457705,794.7970581,-0.001509479713,-3.448815846e-07,0,0,0,0,0.584125936,0,1
7.753098998e-07,77.56031036,0.004998806398,0.002015802544,792.0863037,-0.001498918282,-3.306170129e-07,0,0,0,0,0.6052042842,0,0
7.753098998e-07,77.56031036,0.004998806398,0.002015802544,792.0863037,-0.001498918282,-3.306170129e-07,0,0,0,0,0.6052042842,0,1
7.725093383e-07,77.29111481,0.004964658525,0.00195938535,789.4191895,-0.001488531358,-3.167674549e-07,0,0,0,0,0.6269302368,0,0
7.725093383e-07,77.29111481,0.004964658525,0.00195938535,789.4191895,-0.001488531358,-3.167674549e-07,0,0,0,0,0.6269302368,0,1
7.697474302e-07,77.02572632,0.004931171425,0.001905053505,786.7949829,-0.00147832674,-3.031251765e-07,0,0,0,0,0.6493237019,0,0
7.697474302e-07,77.02572632,0.004931171425,0.001905053505,786.7949829,-0.00147832674,-3.031251765e-07,0,0,0,0,0.6493237019,0,1
7.670274158e-07,76.76447296,0.004898354877,0.00185116753,784.2147827,-0.001468315371,-2.898313767e-07,0,0,0,0,0.6724051237,0,0
7.670274158e-07,76.76447296,0.004898354877,0.00185116753,784.2147827,-0.001468315371,-2.898313767e-07,0,0,0,0,0.6724051237,0,1
7.643504887e-07,76.50744629,0.004866212606,0.001797677134,781.6793213,-0.001458499231,-2.769767491e-07,0,0,0,0,0.696195662,0,0
7.643504887e-07,76.50744629,0.004866212606,0.001797677134,781.6793213,-0.001458499231,-2.769767491e-07,0,0,0,0,0.696195662,0,1
7.617179563e-07,76.254776,0.004834746011,0.001745758927,779.1891479,-0.001448881463,-2.643687935e-07,0,0,0,0,0.7207170725,0,0
7.617179563e-07,76.254776,0.004834746011,0.001745758927,779.1891479,-0.001448881463,-2.643687935e-07,0,0,0,0,0.7207170725,0,1
7.591319218e-07,76.00666809,0.00480393786,0.001694864361,776.7433472,-0.001439468237,-2.521281033e-07,0,0,0,0,0.7459918857,0,0
7.591319218e-07,76.00666809,0.00480393786,0.001694864361,776.7433472,-0.001439468237,-2.521281033e-07,0,0,0,0,0.7459918857,0,1
7.565903957e-07,75.76290894,0.004773717374,0.00164363184,774.336731,-0.001430250006,-2.407672639e-07,0,0,0,0,0.7720431685,0,0
7.565903957e-07,75.76290894,0.004773717374,0.00164363184,774.336731,-0.001430250006,-2.407672639e-07,0,0,0,0,0.7720431685,0,1
7.540865568e-07,75.52285004,0.004743994214,0.001592365559,771.9624023,-0.001421200694,-2.304480802e-07,0,0,0,0,0.7988948226,0,0
7.540865568e-07,75.52285004,0.004743994214,0.001592365559,771.9624023,-0.001421200694,-2.304480802e-07,0,0,0,0,0.7988948226,0,1
7.516148912e-07,75.28596497,0.004714717623,0.001541634207,769.6165161,-0.001412298996,-2.208699215e-07,0,0,0,0,0.8265714049,0,0
7.516148912e-07,75.28596497,0.004714717623,0.001541634207,769.6165161,-0.001412298996,-2.208699215e-07,0,0,0,0,0.8265714049,0,1
7.491741485e-07,75.05211639,0.004685888533,0.001490812283,767.2995605,-0.001403539209,-2.11755804e-07,0,0,0,0,0.8550983071,0,0
7.491741485e-07,75.05211639,0.004685888533,0.001490812283,767.2995605,-0.001403539209,-2.11755804e-07,0,0,0,0,0.8550983071,0,1
7.467647833e-07,74.82135773,0.004657526966,0.001439598855,765.0132446,-0.001394921564,-2.029453299e-07,0,0,0,0,0.884501636,0,0
7.467647833e-07,74.82135773,0.004657526966,0.001439598855,765.0132446,-0.001394921564,-2.029453299e-07,0,0,0,0,0.884501636,0,1
7.443883305e-07,74.59382629,0.004629657138,0.001388623961,762.7599487,-0.001386450487,-1.942637624e-07,0,0,0,0,0.9148082733,0,0
7.443883305e-07,74.59382629,0.004629657138,0.001388623961,762.7599487,-0.001386450487,-1.942637624e-07,0,0,0,0,0.9148082733,0,1
7.420478596e-07,74.36981964,0.004602303728,0.001337965019,760.5418701,-0.001378135756,-1.856866731e-07,0,0,0,0,0.9460459948,0,0
7.420478596e-07,74.36981964,0.004602303728,0.001337965019,760.5418701,-0.001378135756,-1.856866731e-07,0,0,0,0,0.9460459948,0,1
7.397442801e-07,74.14941406,0.004575448576,0.001286756713,758.3579712,-0.001369979116,-1.775011071e-07,0,0,0,0,0.9782434702,0,0
7.397442801e-07,74.14941406,0.004575448576,0.001286756713,758.3579712,-0.001369979116,-1.775011071e-07,0,0,0,0,0.9782434702,0,1
7.374741244e-07,73.93227386,0.004549033009,0.001235036878,756.2036133,-0.001361967297,-1.698951735e-07,0,0,0,0,1.011430144,0,0
7.374741244e-07,73.93227386,0.004549033009,0.001235036878,756.2036133,-0.001361967297,-1.698951735e-07,0,0,0,0,1.011430144,0,1
7.352334706e-07,73.71803284,0.004523009993,0.001183226006,754.0751953,-0.001354085165,-1.627725084e-07,0,0,0,0,1.045636296,0,0
7.352334706e-07,73.71803284,0.004523009993,0.001183226006,754.0751953,-0.001354085165,-1.627725084e-07,0,0,0,0,1.045636296,0,1
7.330208405e-07,73.50653076,0.00449737208,0.001130844117,751.9724731,-0.001346326317,-1.560125753e-07,0,0,0,0,1.080893397,0,0
7.330208405e-07,73.50653076,0.00449737208,0.001130844117,751.9724731,-0.001346326317,-1.560125753e-07,0,0,0,0,1.080893397,0,1
7.308360068e-07,73.29776001,0.004472131841,0.00107786071,749.8966064,-0.001338689472,-1.494881872e-07,0,0,0,0,1.117233634,0,0
7.308360068e-07,73.29776001,0.004472131841,0.00107786071,749.8966064,-0.001338689472,-1.494881872e-07,0,0,0,0,1.117233634,0,1
7.286806181e-07,73.09185791,0.004447309766,0.001024737256,747.8494263,-0.001331179054,-1.430875898e-07,0,0,0,0,1.154690385,0,0
7.286806181e-07,73.09185791,0.004447309766,0.001024737256,747.8494263,-0.001331179054,-1.430875898e-07,0,0,0,0,1.154690385,0,1
7.265561521e-07,72.88897705,0.004422910977,0.0009711346938,745.8317261,-0.001323799486,-1.368991889e-07,0,0,0,0,1.193297863,0,0
7.265561521e-07,72.88897705,0.004422910977,0.0009711346938,745.8317261,-0.001323799486,-1.368991889e-07,0,0,0,0,1.193297863,0,1
7.244613016e-07,72.68898773,0.004398902413,0.0009167786338,743.8410034,-0.001316544833,-1.310787638e-07,0,0,0,0,1.233091474,0,0
7.244613016e-07,72.68898773,0.004398902413,0.0009167786338,743.8410034,-0.001316544833,-1.310787638e-07,0,0,0,0,1.233091474,0,1
7.223928264e-07,72.49157715,0.004375241231,0.0008619649452,741.8738403,-0.001309403568,-1.256282474e-07,0,0,0,0,1.274107695,0,0
7.223928264e-07,72.49157715,0.004375241231,0.0008619649452,741.8738403,-0.001309403568,-1.256282474e-07,0,0,0,0,1.274107695,0,1
7.203486803e-07,72.29654694,0.004351906944,0.0008064982831,739.9287109,-0.001302367193,-1.204789584e-07,0,0,0,0,1.316383958,0,0
7.203486803e-07,72.29654694,0.004351906944,0.0008064982831,739.9287109,-0.001302367193,-1.204789584e-07,0,0,0,0,1.316383958,0,1
7.183282378e-07,72.10382843,0.004328904208,0.0007503952365,738.0061646,-0.001295433263,-1.15528259e-07,0,0,0,0,1.359959126,0,0
7.183282378e-07,72.10382843,0.004328904208,0.0007503952365,738.0061646,-0.001295433263,-1.15528259e-07,0,0,0,0,1.359959126,0,1
7.163326359e-07,71.91353607,0.004306247924,0.0006940134335,736.1077271,-0.001288604573,-1.107061962e-07,0,0,0,0,1.404872894,0,0
7.163326359e-07,71.91353607,0.004306247924,0.0006940134335,736.1077271,-0.001288604573,-1.107061962e-07,0,0,0,0,1.404872894,0,1
7.143622156e-07,71.72570038,0.004283933435,0.000637076213,734.2330322,-0.001281881821,-1.0610011e-07,0,0,0,0,1.45116663,0,0
7.143622156e-07,71.72570038,0.004283933435,0.000637076213,734.2330322,-0.001281881821,-1.0610011e-07,0,0,0,0,1.45116663,0,1
7.124149306e-07,71.54013062,0.004261927214,0.0005797118647,732.3796387,-0.001275257207,-1.017808486e-07,0,0,0,0,1.498882532,0,0
7.124149306e-07,71.54013062,0.004261927214,0.0005797118647,732.3796387,-0.001275257207,-1.017808486e-07,0,0,0,0,1.498882532,0,1
