"nut","yPlus","k","p","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.34870549e-13,0.1768559515,1.277954993e-06,0.0004786478821,15925794,-0.001245320425,-9.995044375e-11,0,0,0,0,1,1.600000024,1.600000024,0,0
1.345247833e-13,0.1767054796,1.273596013e-06,0.0004547885619,15925794,-0.001243201783,-9.846293225e-11,0,0,0,0,1,1.620000005,1.620000005,0,0
1.34186824e-13,0.1765580475,1.269340601e-06,0.0004312429228,15925794,-0.001241128542,-9.705777848e-11,0,0,0,0,1,1.639999986,1.639999986,0,0
1.338507891e-13,0.1764113605,1.265110882e-06,0.0004078433267,15925794,-0.001239066361,-9.567623083e-11,0,0,0,0,1,1.659999967,1.659999967,0,0
1.335233465e-13,0.1762679964,1.260995305e-06,0.0003850943176,15925794,-0.00123705389,-9.439975884e-11,0,0,0,0,1,1.679999948,1.679999948,0,0
1.331962427e-13,0.1761247665,1.256884275e-06,0.0003623924858,15925794,-0.001235043397,-9.312908777e-11,0,0,0,0,1,1.700000048,1.700000048,0,0
1.328784766e-13,0.1759851426,1.252896936e-06,0.0003409779456,15925794,-0.001233086921,-9.201621409e-11,0,0,0,0,1,1.720000029,1.720000029,0,0
1.325606969e-13,0.1758455187,1.248909598e-06,0.0003195633763,15925794,-0.001231130445,-9.090333347e-11,0,0,0,0,1,1.74000001,1.74000001,0,0
1.322500052e-13,0.1757086068,1.245017188e-06,0.0002992250375,15925794,-0.001229214715,-8.982913718e-11,0,0,0,0,1,1.75999999,1.75999999,0,0
1.31940208e-13,0.1755720228,1.241136715e-06,0.0002790230792,15925794,-0.00122730399,-8.875984669e-11,0,0,0,0,1,1.779999971,1.779999971,0,0
1.31637038e-13,0.1754380465,1.237343668e-06,0.0002613303659,15925794,-0.001225431915,-8.80415324e-11,0,0,0,0,1,1.799999952,1.799999952,0,0
1.31336199e-13,0.1753049791,1.233581429e-06,0.000244520983,15925794,-0.001223573345,-8.744676511e-11,0,0,0,0,1,1.820000052,1.820000052,0,0
1.310358614e-13,0.175171867,1.229829081e-06,0.0002279155015,15925794,-0.001221716055,-9.589225941e-11,0,0,0,0,1,1.840000033,1.840000033,0,0
1.307358356e-13,0.1750387102,1.226083555e-06,0.0002114507079,15925794,-0.001219859463,-1.105760344e-10,0,0,0,0,1,1.860000014,1.860000014,0,0
1.304416644e-13,0.1749079823,1.222413403e-06,0.0002105850144,15925794,-0.001218037796,-1.20303878e-10,-1.134537179e-21,0,0,0,1,1.879999995,1.879999995,0,0
1.301547845e-13,0.1747802645,1.218837497e-06,0.0002292716235,15925794,-0.001216259785,-1.238198294e-10,-3.691131521e-21,0,0,0,1,1.899999976,1.899999976,0,0
1.298484703e-13,0.1746437103,1.215021825e-06,0.0002132135705,15925794,-0.001214360003,-1.239038039e-10,-5.491362897e-21,0,0,0,1,1.919999957,1.919999957,0,0
1.294958742e-13,0.1744861007,1.210635105e-06,0.000114458664,15925794,-0.001212169998,-1.158192361e-10,-5.491362897e-21,0,0,0,1,1.940000057,1.940000057,0,0
1.291631597e-13,0.1743373424,1.206496222e-06,1.15191815e-05,15925794,-0.00121010351,-1.093908089e-10,-5.113174547e-21,0,0,0,1,1.960000038,1.960000038,0,0
1.289449775e-13,0.1742396653,1.203783881e-06,-0.0001155272621,15925794,-0.001208747388,-1.125016053e-10,-2.556587274e-21,0,0,0,1,1.980000019,1.980000019,0,0
1.287267954e-13,0.1741419882,1.201071541e-06,-0.0002425737039,15925794,-0.001207391266,-1.156124085e-10,0,0,0,0,1,2,2,0,0
