"yPlus","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.078248173,0.0003659752256,-0.0002437785297,-3.093557632e-10,0,0,0,0,0.3673226237,0,1
0.07766828686,0.000362767576,-0.0002401787206,-2.958172873e-10,0,0,0,0,0.3784979284,0,0
0.07766828686,0.000362767576,-0.0002401787206,-2.958172873e-10,0,0,0,0,0.3784979284,0,1
0.0770920217,0.0003594696173,-0.0002366279223,-2.828560719e-10,0,0,0,0,0.3900256455,0,0
0.0770920217,0.0003594696173,-0.0002366279223,-2.828560719e-10,0,0,0,0,0.3900256455,0,1
0.0765189901,0.0003560772457,-0.0002331232536,-2.70440198e-10,0,0,0,0,0.4019253254,0,0
0.0765189901,0.0003560772457,-0.0002331232536,-2.70440198e-10,0,0,0,0,0.4019253254,0,1
0.07594879717,0.0003525859793,-0.0002296619205,-2.585402448e-10,0,0,0,0,0.4142179191,0,0
0.07594879717,0.0003525859793,-0.0002296619205,-2.585402448e-10,0,0,0,0,0.4142179191,0,1
0.07538107038,0.0003489908704,-0.0002262412308,-2.471283178e-10,-1.287282784e-20,0,0,0,0.4269260764,0,0
0.07538107038,0.0003489908704,-0.0002262412308,-2.471283178e-10,-1.287282784e-20,0,0,0,0.4269260764,0,1
0.07481541485,0.0003452865058,-0.0002228586236,-2.361783269e-10,-1.287290458e-20,0,0,0,0.4400739968,0,0
0.07481541485,0.0003452865058,-0.0002228586236,-2.361783269e-10,-1.287290458e-20,0,0,0,0.4400739968,0,1
0.07425147295,0.0003414671228,-0.0002195115958,-2.256665965e-10,-5.876205445e-21,0,0,0,0.4536879957,0,0
0.07425147295,0.0003414671228,-0.0002195115958,-2.256665965e-10,-5.876205445e-21,0,0,0,0.4536879957,0,1
0.07368887216,0.0003375267261,-0.0002161977609,-2.155712275e-10,-5.876247855e-21,0,0,0,0.4677962959,0,0
0.07368887216,0.0003375267261,-0.0002161977609,-2.155712275e-10,-5.876247855e-21,0,0,0,0.4677962959,0,1
0.07312723994,0.000333458418,-0.0002129147615,-2.058709175e-10,-5.359226044e-21,0,0,0,0.482429564,0,0
0.07312723994,0.000333458418,-0.0002129147615,-2.058709175e-10,-5.359226044e-21,0,0,0,0.482429564,0,1
0.07256620377,0.000329254166,-0.0002096603712,-1.965466123e-10,4.872020703e-21,0,0,0,0.4976209998,0,0
0.07256620377,0.000329254166,-0.0002096603712,-1.965466123e-10,4.872020703e-21,0,0,0,0.4976209998,0,1
0.07200539857,0.0003249061701,-0.0002064323489,-1.875805622e-10,1.999413963e-20,0,0,0,0.5134065747,0,0
0.07200539857,0.0003249061701,-0.0002064323489,-1.875805622e-10,1.999413963e-20,0,0,0,0.5134065747,0,1
0.07144444436,0.0003204059904,-0.0002032285265,-1.78955406e-10,5.106885067e-21,0,0,0,0.529825449,0,0
0.07144444436,0.0003204059904,-0.0002032285265,-1.78955406e-10,5.106885067e-21,0,0,0,0.529825449,0,1
0.07088296115,0.0003157443425,-0.0002000467794,-1.706553787e-10,-4.656023165e-21,0,0,0,0.5469203591,0,0
0.07088296115,0.0003157443425,-0.0002000467794,-1.706553787e-10,-4.656023165e-21,0,0,0,0.5469203591,0,1
0.07032056153,0.0003109110403,-0.0001968850411,-1.626657559e-10,0,0,0,0,0.5647376776,0,0
0.07032056153,0.0003109110403,-0.0001968850411,-1.626657559e-10,0,0,0,0,0.5647376776,0,1
0.0697568655,0.0003058951697,-0.0001937412308,-1.549724932e-10,8.058017096e-21,0,0,0,0.5833283663,0,0
0.0697568655,0.0003058951697,-0.0001937412308,-1.549724932e-10,8.058017096e-21,0,0,0,0.5833283663,0,1
0.06919145584,0.000300685002,-0.0001906133257,-1.475625733e-10,3.876695234e-22,0,0,0,0.6027481556,0,0
0.06919145584,0.000300685002,-0.0001906133257,-1.475625733e-10,3.876695234e-22,0,0,0,0.6027481556,0,1
0.06862392277,0.0002952671202,-0.0001874992886,-1.404237976e-10,-7.670625958e-21,0,0,0,0.6230581999,0,0
0.06862392277,0.0002952671202,-0.0001874992886,-1.404237976e-10,-7.670625958e-21,0,0,0,0.6230581999,0,1
0.06805384159,0.0002896269434,-0.0001843970822,-1.33544828e-10,0,0,0,0,0.6443258524,0,0
0.06805384159,0.0002896269434,-0.0001843970822,-1.33544828e-10,0,0,0,0,0.6443258524,0,1
0.06748077273,0.0002837490174,-0.0001813046983,-1.269149091e-10,-6.590395125e-21,0,0,0,0.6666254401,0,0
